Date,open,high,low,close,adj_close,volume
2000-01-03,244.141006,244.143997,244.141006,244.143997,49.233364,328768
2000-01-04,262.500000,263.675995,253.953003,263.372986,53.111023,3595904
2000-01-05,245.328003,253.906006,242.304001,242.304001,48.862305,10534720
2000-01-06,238.384995,239.061996,222.919998,222.919998,44.953381,5247808
2000-01-07,205.085999,205.085999,205.085999,205.085999,41.357044,485696
2000-01-10,205.085999,221.492004,188.679993,214.957993,43.347805,15115200
2000-01-11,206.250000,215.625000,197.761993,197.761993,39.880108,7829184
2000-01-12,186.718994,208.578003,183.843994,204.337006,41.205994,12996736
2000-01-13,204.688004,205.453003,187.990005,188.916000,38.096237,10019200
2000-01-14,191.391006,192.141006,175.046997,190.255997,38.366470,8020032
2000-01-17,190.625000,201.328003,183.125000,185.483002,37.403954,9046464
2000-01-18,183.432999,190.141006,176.953003,186.494995,37.608032,10145472
2000-01-19,196.031006,201.414001,194.061996,201.404007,40.614544,9997376
2000-01-20,206.250000,211.733994,197.046997,199.173004,40.164646,9889280
2000-01-21,201.561996,212.343994,195.358994,209.690994,42.285667,10393024
2000-01-24,212.500000,226.391006,212.500000,216.856003,43.730537,12628160
2000-01-25,215.625000,222.656006,209.376007,220.459000,44.457130,10234816
2000-01-26,null,null,null,null,null,null
2000-01-27,236.561996,237.500000,227.906006,230.960999,46.574924,6476896
2000-01-28,232.061996,240.593994,232.061996,237.860992,47.966354,8640768
2000-01-31,235.483994,235.750000,222.718994,225.677994,45.509571,3799136
2000-02-01,226.561996,232.811996,223.438004,231.794006,46.742889,3527712
2000-02-02,237.188004,240.625000,229.671997,230.181000,46.417622,4745760
2000-02-03,231.750000,234.688004,230.311996,232.524994,46.890324,3016032
2000-02-04,233.593994,248.438004,233.593994,246.779999,49.764946,10088352
2000-02-07,246.843994,266.523010,246.843994,265.506012,53.541161,8494304
2000-02-08,265.468994,285.937988,265.468994,278.069000,56.074581,7451392
2000-02-09,293.718994,293.718994,268.750000,272.179993,54.887028,5297760
2000-02-10,274.968994,289.843994,274.968994,287.781006,58.033085,9388864
2000-02-11,289.656006,310.804993,289.656006,310.804993,62.676025,1050112
2000-02-14,335.670013,335.670013,335.670013,335.670013,67.690224,759456
2000-02-15,335.670013,335.670013,308.816986,311.304993,62.776859,10669984
2000-02-16,314.062012,321.875000,301.093994,313.683014,63.256401,6360224
2000-02-17,312.500000,337.500000,312.500000,321.821991,64.897682,6062624
2000-02-18,325.593994,328.125000,305.468994,308.269012,62.164631,5314144
2000-02-21,307.812012,328.125000,303.156006,320.460999,64.623230,8875776
2000-02-22,323.093994,323.093994,304.687988,307.191010,61.947250,6033280
2000-02-23,328.125000,328.125000,282.615997,287.967010,58.070576,5972288
2000-02-24,293.437988,301.531006,280.875000,290.531006,58.587643,4130240
2000-02-25,293.750000,296.558014,276.562012,280.850006,56.635391,2464928
2000-02-28,278.125000,278.125000,258.382996,265.928009,53.626266,3808192
2000-02-29,268.750000,287.203003,260.937988,274.355988,55.325825,8015904
2000-03-01,284.343994,296.304993,281.250000,296.304993,59.751991,3142912
2000-03-02,316.710999,320.009003,310.377991,320.009003,64.532082,803520
2000-03-03,345.610992,345.610992,345.610992,345.610992,69.694885,854112
2000-03-06,373.114014,373.260986,330.000000,373.260986,75.270737,692896
2000-03-07,400.000000,403.122009,400.000000,403.122009,81.292419,1738656
2000-03-08,420.312012,435.372009,374.531006,384.845001,77.606720,11216384
2000-03-09,396.562012,406.250000,363.437988,370.579987,74.730064,4167360
2000-03-10,378.093994,398.281006,357.079987,364.524994,73.509018,5129824
2000-03-13,365.625000,381.218994,335.364014,335.364014,67.628525,3756832
